AAPL,FB,GOOGL,AMZN,BAC,WFC,c
174.94,133.65,1033.5,1517.0,27.08,51.97,62.33
174.24,133.0,1044.0,1539.0,27.18,52.33,62.67
171.51,135.75,1051.34,1575.99,27.43,52.69,63.35
176.73,136.28,1057.46,1613.92,27.88,53.15,63.64
182.66,135.92,1083.53,1674.99,28.18,53.97,65.09
180.29,138.26,1095.63,1679.5,27.94,54.08,64.37
184.46,143.0,1132.16,1769.46,28.99,54.78,66.04
180.95,140.73,1112.99,1756.0,28.32,53.95,64.58
171.76,133.82,1045.0,1614.87,26.23,50.65,59.36
173.49,139.25,1072.23,1705.07,26.15,50.89,59.72
165.0,139.6,1042.94,1623.84,25.18,50.07,57.95
171.66,143.88,1066.94,1678.0,25.21,49.41,58.17
170.4,143.08,1077.08,1669.0,24.87,48.29,57.13
170.49,145.57,1075.67,1680.0,24.66,47.97,56.38
169.0,143.34,1060.02,1638.0,24.18,46.55,54.73
165.45,143.08,1047.01,1566.0,24.26,46.22,54.85
165.38,141.08,1034.0,1540.0,24.67,46.94,54.72
166.0,141.21,1047.29,1543.05,24.45,46.39,53.9
160.4,130.7,1026.0,1484.0,23.85,45.4,52.21
156.86,133.39,1032.04,1464.99,23.91,45.59,51.9
148.15,123.1,984.32,1346.0,22.76,44.47,49.4
148.3,126.0,997.99,1368.89,22.91,43.84,49.65
155.84,132.44,1026.2,1454.2,23.78,44.72,50.62
157.5,135.34,1059.5,1473.35,24.59,45.68,51.93
158.53,134.45,1057.83,1510.8,24.57,45.98,51.98
154.89,128.99,1027.2,1465.2,24.08,45.525,50.68
143.98,134.69,1050.67,1520.01,24.94,46.65,53.41
144.53,134.01,1042.56,1530.0,25.1,47.42,54.01
148.7,137.56,1080.97,1602.31,25.56,47.78,55.33
149.56,139.89,1086.0,1664.69,25.72,47.9,56.03
151.29,142.95,1087.99,1652.98,25.67,47.51,55.71
152.5,143.08,1074.94,1641.01,25.56,47.5,55.99
152.88,143.15,1069.9,1640.55,25.53,47.5,56.46
150.85,142.0,1053.34,1615.0,25.77,47.51,56.1
150.27,146.01,1058.01,1632.0,26.21,47.6,59.89
153.08,149.0,1090.0,1684.22,28.13,48.15,61.95
154.2,146.95,1087.99,1680.0,28.34,48.64,61.63
157.5,149.75,1108.59,1712.0,29.02,49.1,62.86
156.41,149.2,1096.0,1681.0,28.98,49.77,62.67
154.15,148.28,1086.86,1656.0,29.22,50.0,62.27
154.11,144.64,1082.51,1641.07,28.75,49.79,61.74
155.48,147.48,1094.23,1670.5,29.28,50.4,63.33
155.79,148.05,1090.07,1643.59,29.32,49.77,63.19
156.25,148.09,1081.04,1631.27,29.54,49.78,63.71
163.25,146.22,1077.36,1623.0,29.42,49.84,63.46
166.11,165.6,1112.24,1692.85,28.75,49.28,63.65
166.96,165.84,1122.29,1638.88,28.6,49.0,64.25
167.41,165.7,1119.01,1623.0,28.47,48.85,63.5
172.86,169.15,1129.63,1643.34,28.85,49.27,64.19
174.65,171.2,1149.27,1670.75,28.67,49.09,63.83
172.4,168.2,1111.82,1625.0,28.54,49.09,63.61
168.99,164.47,1094.88,1586.0,28.15,47.94,62.13
171.05,167.9,1103.75,1600.98,28.34,47.87,62.41
170.1,166.86,1111.01,1604.0,28.62,48.01,62.15
171.39,165.38,1133.04,1647.0,28.87,49.24,63.3
169.71,163.19,1125.0,1624.5,28.36,48.63,62.35
171.25,164.51,1139.3,1627.86,28.76,49.09,63.14
169.71,160.5,1116.64,1601.0,28.93,49.03,63.73
171.19,162.25,1128.88,1630.0,29.1,49.43,64.5
171.8,161.93,1118.78,1619.85,29.33,49.76,64.55
171.58,160.58,1109.7,1623.5,29.05,49.6,64.63
174.16,163.07,1121.93,1641.45,29.12,49.26,64.59
173.71,164.335,1114.37,1625.98,29.02,49.49,64.09
173.21,162.9,1114.01,1628.18,29.3,49.59,64.24
174.32,162.37,1119.0,1635.25,29.5,49.98,64.46
174.28,162.6,1131.0,1655.13,29.33,50.23,64.78
175.69,163.9,1154.56,1685.0,29.33,50.29,64.53
175.94,167.37,1156.0,1702.95,29.02,50.03,63.66
174.67,172.9,1171.76,1695.97,29.01,49.97,62.7
173.87,171.5,1160.5,1667.37,28.67,49.71,62.03
170.32,166.2,1133.9,1604.01,28.06,49.26,60.96
175.49,171.6,1152.0,1626.12,28.7,50.0,62.53
180.0,172.09,1182.3,1669.0,29.0,49.78,62.3
182.25,172.32,1205.93,1683.0,29.05,49.87,63.14
183.9,169.76,1199.02,1691.2,29.31,50.07,63.69
184.85,167.16,1198.0,1703.0,29.44,50.22,64.16
185.8,163.57,1189.69,1712.7,29.38,50.84,65.21
188.35,161.48,1191.72,1753.51,30.01,52.42,66.46
186.23,161.5,1201.4,1769.94,29.62,51.19,65.26
190.02,164.89,1220.0,1796.26,28.45,49.98,63.67
195.34,165.65,1228.85,1810.17,27.91,49.25,62.98
191.51,163.0,1199.56,1757.79,26.91,48.42,60.98
191.664,167.35,1205.19,1793.0,27.15,48.52,60.99
188.75,167.85,1191.92,1784.13,27.09,48.94,61.38
188.95,164.57,1175.5,1770.0,27.2,48.73,60.95
189.83,166.39,1180.18,1786.58,27.55,49.8,62.33
191.64,167.83,1187.54,1800.11,27.9,48.43,62.85
191.09,170.14,1200.05,1811.02,28.47,48.57,64.24
193.25,174.5,1212.7,1826.72,29.07,48.47,64.99
194.79,176.02,1211.29,1820.65,28.85,48.95,64.81
196.45,176.88,1219.3,1829.0,29.32,49.26,65.93
196.42,175.21,1211.11,1833.23,28.89,48.64,65.13
200.32,175.62,1201.89,1845.49,29.0,48.68,65.6
198.68,178.18,1205.09,1841.0,28.9,48.08,65.48
200.85,178.24,1208.9,1848.7,29.25,47.97,65.8
199.2,178.0,1215.62,1848.4,29.56,47.75,67.08
198.58,178.5,1224.09,1842.0,30.1,45.87,67.39
199.46,179.0,1230.0,1851.35,29.3,46.88,67.5
199.54,179.6,1237.0,1872.99,29.83,47.96,69.95
203.12,178.8,1245.0,1868.79,29.95,47.44,70.01
202.83,178.25,1236.67,1855.4,29.93,47.41,69.58
204.43,182.74,1256.64,1891.2,29.99,47.2,68.84
207.36,184.49,1270.59,1925.0,29.95,47.06,68.99
206.83,196.98,1270.3,1917.0,29.91,47.17,68.56
204.9,192.5,1273.38,1929.0,30.17,47.52,68.9
204.4,190.95,1280.51,1949.0,30.43,47.97,69.69
203.06,194.19,1190.63,1930.1,30.8,48.35,71.02
209.88,194.78,1197.5,1933.09,30.56,48.32,70.68
209.84,193.0,1172.6,1913.33,30.26,48.35,69.74
210.89,194.38,1177.41,1949.0,30.66,48.5194,70.39
204.29,191.24,1172.0,1917.98,30.11,47.99,69.05
205.88,192.54,1185.81,1939.99,30.16,48.05,69.35
201.9,189.39,1177.29,1918.87,29.73,47.06,67.88
200.4,187.2,1162.6,1900.0,29.42,46.0,66.83
197.419,188.25,1168.84,1898.0,29.46,46.41,67.27
187.71,183.5,1145.24,1836.56,28.96,46.28,66.13
186.41,182.52,1142.32,1839.5,28.36,46.38,64.62
186.27,180.42,1122.55,1827.95,28.1,46.02,64.46
189.91,185.05,1171.84,1885.94,28.46,45.99,65.31
186.93,184.84,1175.83,1893.05,28.25,45.44,64.97
183.52,181.88,1153.0,1852.69,28.4,45.62,64.75
185.22,184.57,1154.48,1874.79,28.57,45.62,65.5
184.66,184.73,1151.25,1851.78,28.51,46.07,65.84
179.8,182.42,1146.07,1836.59,28.13,45.83,63.82
180.2,182.33,1152.0,1835.89,27.93,45.76,64.29
178.92,181.54,1141.48,1832.75,28.05,46.07,64.09
176.42,183.5,1132.7,1823.12,27.53,45.39,63.15
177.95,183.08,1120.15,1825.49,27.77,45.69,64.77
176.23,180.28,1105.64,1790.01,26.5,44.53,62.39
175.6,175.0,1066.93,1760.01,26.59,44.24,62.1
175.44,163.71,1044.49,1699.24,27.18,45.16,63.79
184.28,167.48,1055.0,1749.6,27.84,45.87,65.45
183.08,168.3,1046.21,1737.71,27.76,45.74,65.82
186.51,170.17,1054.28,1763.7,27.75,45.9,66.16
191.81,174.75,1077.0,1822.0,27.86,46.06,66.88
194.86,178.48,1096.99,1883.25,28.38,45.84,67.58
193.95,178.38,1079.95,1853.98,28.2,46.01,67.65
194.7,175.53,1084.71,1866.72,27.97,45.1,66.83
191.545,180.51,1089.74,1864.0,27.91,45.31,67.15
192.9,185.01,1089.1,1876.5,28.01,45.58,67.5
196.05,194.0,1111.5,1901.35,28.02,45.25,66.81
199.68,187.0,1107.24,1907.84,28.7,46.48,68.16
200.37,190.95,1121.7,1933.33,28.59,45.85,68.56
198.8,188.75,1109.86,1916.1,28.19,45.84,68.03
198.54,192.42,1120.0,1912.66,28.08,46.55,67.82
198.43,192.88,1115.08,1911.84,28.02,46.13,67.46
197.77,189.54,1091.0,1892.48,27.94,46.21,67.04
200.29,189.88,1086.75,1902.0,28.08,46.22,67.62
198.68,190.55,1077.23,1909.1,29.01,46.81,69.28
203.17,195.21,1101.04,1922.98,29.48,47.88,70.86
201.41,193.0,1104.83,1919.38,29.34,47.52,70.36
203.28,194.16,1118.5,1935.89,29.19,47.3,70.71
203.35,196.18,1119.37,1928.6,29.36,48.1,71.27
200.81,195.19,1125.87,1934.12,29.01,47.4,70.76
199.2,194.97,1110.32,1947.8,28.97,47.3,70.53
201.85,200.0,1132.32,1996.51,29.17,47.67,71.5
203.31,203.26,1146.16,2025.62,29.1,47.21,71.4298
202.45,199.68,1142.93,2008.27,29.44,47.12,71.89
204.09,204.25,1145.34,2021.4,29.5,47.4,71.73
204.59,203.89,1146.73,2010.58,29.17,46.72,71.7
204.05,204.18,1150.92,2007.05,29.1,45.2,71.19
204.0,200.15,1142.0,1980.01,29.28,45.22,70.54
205.79,202.18,1149.32,1991.21,29.54,45.96,71.73
203.65,199.91,1135.47,1971.14,29.29,45.89,70.72
208.46,202.84,1143.45,1995.99,29.75,46.68,71.33
207.67,197.63,1132.62,1969.3,30.07,47.3,71.66
208.89,206.7,1138.95,2001.0,30.74,48.52,72.96
207.48,200.19,1228.0,1942.0,30.57,48.15,72.15
208.46,199.0,1242.5,1930.0,30.72,49.38,71.91
208.76,195.39,1227.0,1891.12,30.21,48.01,71.03
216.42,196.95,1224.87,1898.11,30.83,48.26,71.4
213.9,194.17,1217.63,1871.72,30.55,48.41,70.67
205.53,191.1,1203.0,1845.0699,29.36,47.11,67.61
197.99,184.69,1172.97,1770.22,28.53,46.5,65.6
196.31,183.69,1165.52,1792.23,28.41,46.61,66.0
195.41,183.6,1157.8,1773.99,27.61,46.07,64.63
200.2,186.62,1186.4301,1806.0,28.11,45.69,65.85
201.3,190.0,1199.995,1828.95,28.27,46.02,66.33
199.62,186.85,1180.0,1795.99,27.83,45.51,64.61
201.02,185.52,1174.35,1783.0,27.57,45.61,63.9
203.16,185.8,1176.07,1793.01,26.94,45.02,62.88
203.46,180.9619,1168.43,1781.99,26.58,44.3,61.98
204.28,183.75,1180.79,1792.89,26.53,43.74,61.93
210.62,186.01,1191.83,1818.08,27.64,45.13,64.82
210.88,185.45,1195.35,1814.5,27.02,45.04,63.72
212.99,185.0,1195.8199,1819.39,26.93,44.96,64.13
213.19,183.43,1193.8,1828.0,27.09,45.33,63.81
209.43,180.84,1185.17,1793.03,26.95,45.2,63.28
205.86,179.4,1159.45,1766.91,26.7,44.71,62.57
207.86,181.93,1183.0,1775.73,26.86,45.23,63.01
204.1,180.53,1164.87,1755.0,26.22,44.64,61.3
208.5,183.77,1186.42,1783.0,27.0,46.0,63.31
210.16,186.78,1200.35,1797.49,27.5,46.54,64.34
206.43,184.0,1181.85,1770.0,27.21,46.31,64.0
208.39,184.65,1179.45,1805.0,27.32,46.54,64.0
212.0,188.53,1193.66,1821.95,27.85,47.31,65.65
214.05,190.21,1209.14,1838.22,28.02,47.58,66.19
214.84,187.73,1207.08,1841.0,28.0,47.32,66.76
213.86,187.44,1196.09,1822.75,28.89,48.07,69.18
218.07,186.46,1203.89,1812.14,29.37,48.29,68.72
224.8,189.86,1223.47,1837.63,29.22,48.52,68.11
220.0,187.325,1232.11,1842.01,30.0,49.01,70.34
217.73,186.93,1230.44,1824.02,29.68,48.46,68.96
219.96,186.66,1231.63,1807.08,29.85,48.7,69.78
221.06,188.09,1230.24,1817.04,29.77,48.63,69.21
222.01,188.66,1232.32,1821.02,30.0,48.99,70.06
221.38,190.66,1233.64,1821.71,29.97,49.07,70.15
218.95,189.34,1226.57,1777.0,29.31,48.32,68.62
221.055,187.98,1240.0,1790.61,29.6,48.98,69.5
218.55,181.45,1216.01,1747.36,28.78,48.73,67.91
220.0,181.33,1242.14,1762.79,29.21,49.25,69.32
220.54,178.16,1242.83,1748.0,29.41,50.36,69.82
220.9,177.87,1220.6,1726.99,29.49,50.77,69.7965
225.07,179.15,1222.49,1746.0,29.44,50.65,69.57
223.06,174.84,1196.5,1727.74,28.2,48.72,67.76
218.43,175.57,1183.34,1713.0,27.76,48.3,66.08
225.64,179.55,1194.29,1726.02,27.85,48.66,66.76
226.27,180.0,1207.0,1731.63,28.33,48.95,67.87
225.82,178.26,1198.77,1722.49,27.87,48.25,67.03
227.03,179.16,1201.33,1719.61,27.83,48.17,67.0
227.93,180.32,1198.6,1725.24,28.04,48.33,67.77
232.95,182.15,1224.03,1742.92,28.99,49.46,69.99
234.9,184.2,1213.89,1728.91,28.74,49.09,69.53
236.39,183.8,1221.5,1742.14,29.34,49.28,70.17
233.37,188.32,1241.81,1773.33,30.37,50.04,70.82
235.09,190.3,1251.4,1796.49,30.3,49.98,70.03
234.59,190.23,1254.69,1787.8,30.13,49.35,69.32
237.52,187.04,1248.7,1769.66,30.67,50.28,70.52
241.16,190.0,1244.48,1788.15,30.97,50.44,71.72
242.1,182.01,1240.21,1761.3,31.13,50.72,71.9
